0
"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles."
Divulgação da atividade parlamentar
"Passagens aéreas, aquáticas e terrestres nacionais"
"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar"
"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes"
"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. "
Serviços de Segurança Privada
