ANO,MES,SENADOR,VALOR_REEMBOLSADO,UF,QUOTA,PERCENTAGE
2008,12,JOSÉ SARNEY,3600.0,AP,43374.78,8.3
2008,12,JOÃO DURVAL,24235.71,,40256.17,60.2
2008,12,JOÃO PEDRO,12745.93,,40256.17,31.66
2008,12,JOÃO RIBEIRO,24717.56,TO,39503.61,62.57
2008,12,JOÃO TENÓRIO,7235.0,,40256.17,17.97
2008,12,JOÃO VICENTE CLAUDINO,16126.880000000001,,40256.17,40.06
2008,12,KÁTIA ABREU,26322.58,TO,39503.61,66.63
2008,12,LEOMAR QUINTANILHA,7199.31,TO,39503.61,18.22
2008,12,LOBÃO FILHO,14880.0,,40256.17,36.96
2008,12,LÚCIA VÂNIA,15004.43,GO,35507.06,42.26
2008,12,MAGNO MALTA,18561.43,ES,37423.91,49.6
2008,12,MARCELO CRIVELLA,40835.33,RJ,35759.97,114.19
2008,12,MARCONI PERILLO,13945.01,,40256.17,34.64
2008,12,MARINA SILVA,13968.55,AC,44632.46,31.3
2008,12,MARISA SERRANO,15727.29,,40256.17,39.07
2008,12,MOZARILDO CAVALCANTI,39458.69,RR,45612.53,86.51
2008,12,MÁRIO COUTO,14779.03,,40256.17,36.71
2008,12,MÃO SANTA,16353.11,PI,40971.77,39.91
2008,12,NEUTO DE CONTO,16159.5,,40256.17,40.14
2008,12,OSMAR DIAS,16495.86,PR,38871.86,42.44
2008,12,PAPALÉO PAES,16000.0,AP,43374.78,36.89
2008,12,PATRÍCIA SABOYA GOMES,42402.61,,40256.17,105.33
2008,12,PAULO DUQUE,16183.04,,40256.17,40.2
2008,12,PAULO PAIM,15000.0,RS,40875.9,36.7
2008,12,RAIMUNDO COLOMBO,15000.0,,40256.17,37.26
2008,12,RENAN CALHEIROS,7690.849999999999,AL,40944.1,18.78
2008,12,RENATO CASAGRANDE,13636.51,ES,37423.91,36.44
2008,12,ROMERO JUCÁ,13609.609999999999,RR,45612.53,29.84
2008,12,ROMEU TUMA,20178.5,SP,37043.53,54.47
2008,12,ROSALBA CIARLINI,15000.0,,40256.17,37.26
2008,12,ROSEANA SARNEY,49336.65,MA,42151.69,117.05
2008,12,SERYS SLHESSARENKO,15007.57,MT,39428.03,38.06
2008,12,SÉRGIO GUERRA,15000.0,PE,41676.8,35.99
2008,12,SÉRGIO ZAMBIASI,14791.939999999999,RS,40875.9,36.19
2008,12,TASSO JEREISSATI,4000.0,CE,42451.77,9.42
2008,12,TIÃO VIANA,13373.05,AC,44632.46,29.96
2008,12,VALDIR RAUPP,17590.55,RO,43672.49,40.28
2008,12,VALTER PEREIRA,13916.150000000001,,40256.17,34.57
2008,12,VIRGINIO DE CARVALHO,27917.02,,40256.17,69.35
2008,12,WELLINGTON SALGADO DE OLIVEIRA,14743.32,MG,36092.71,40.85
2009,1,ADELMIR SANTANA,12466.95,,40256.17,30.97
2009,1,ALMEIDA LIMA,15000.0,,40256.17,37.26
2009,1,ALOIZIO MERCADANTE,7051.070000000001,SP,37043.53,19.03
2009,1,ALVARO DIAS,15000.0,PR,38871.86,38.59
2009,1,ANTONIO CARLOS JUNIOR,14464.44,,40256.17,35.93
2009,1,ANTÔNIO CARLOS VALADARES,14505.0,SE,40139.26,36.14
2009,1,AUGUSTO BOTELHO,11605.960000000001,RR,45612.53,25.44
2009,1,CRISTOVAM BUARQUE,14332.82,DF,30788.66,46.55
2009,1,CÉSAR BORGES,14696.630000000001,BA,39010.85,37.67
2009,1,CÍCERO LUCENA,15000.0,,40256.17,37.26
2009,1,DELCIDIO DO AMARAL,14996.029999999999,,40256.17,37.25
2009,1,DEMÓSTENES TORRES,14499.560000000001,GO,35507.06,40.84
2009,1,EDUARDO AZEREDO,15000.0,MG,36092.71,41.56
2009,1,EDUARDO SUPLICY,2280.47,SP,37043.53,6.16
2009,1,EFRAIM MORAIS,14577.61,PB,42032.56,34.68
2009,1,ELISEU RESENDE,12467.939999999999,,40256.17,30.97
2009,1,EPITÁCIO CAFETEIRA,12412.0,MA,42151.69,29.45
2009,1,FERNANDO COLLOR,14905.23,,40256.17,37.03
2009,1,FLEXA RIBEIRO,13849.3,PA,42227.45,32.8
2009,1,FLÁVIO ARNS,8021.379999999999,PR,38871.86,20.64
2009,1,FRANCISCO DORNELLES,15000.0,,40256.17,37.26
2009,1,FÁTIMA CLEIDE,12871.37,RO,43672.49,29.47
2009,1,GARIBALDI ALVES FILHO,14984.37,RN,42731.99,35.07
2009,1,GERALDO MESQUITA JÚNIOR,8802.31,AC,44632.46,19.72
2009,1,GERSON CAMATA,9021.05,ES,37423.91,24.11
2009,1,GILBERTO GOELLNER,12388.23,,40256.17,30.77
2009,1,GILVAM BORGES,15000.0,AP,43374.78,34.58
