NOME,UF
LEONEL PAIVA,DF
LEONEL PAVAN,SC
LEOPOLDO PERES SOBRINHO,AM
LEVY DIAS,MS
LOUREMBERG RIBEIRO NUNES ROCHA,MT
LOURIVAL BAPTISTA,SE
LÚCIA VÂNIA,GO
LUCÍDIO PORTELA NUNES,PI
LÚCIO ALCÂNTARA,CE
LÚDIO COELHO,MS
LUÍS ALBERTO MAGUITO VILELA,GO
LUÍS ALBERTO MARTINS DE OLIVEIRA,PR
LUÍS CARLOS BELLO PARGA,MA
LUÍS OSVALDO PASTORE,ES
LUÍS PIAUILINO DE MELO MONTEIRO,PE
LUÍS VIANA FILHO,BA
LUÍS VIANA NETO,BA
LUIZ ESTEVÃO,DF
LUIZ OTÁVIO CAMPOS,PA
LUIZ PONTES,CE
LUZIA ALVES TOLEDO,ES
MAGNO BACELAR,MA
MAGNO MALTA,ES
MÃO SANTA,PI
MARCELO CRIVELLA,RJ
MARCELO MIRANDA SOARES,MS
MÁRCIO BEREZOSKI,SC
MARCO LÚCIO,MT
MARCO MACIEL,PE
MARCONDES GADELHA,PB
MARCOS DE MEIRA LINS,PE
MARCOS GUERRA,ES
MARCOS RIBEIRO DE MENDONÇA,SP
MARIA ALACOQUE BEZERRA DE FIGUEIREDO,CE
MARIA BENIGNA OLIVEIRA DO NASCIMENTO JUCÁ,AP
MARIA DO CARMO ALVES,SE
MARINA SILVA,AC
MÁRIO COVAS,SP
MÁRIO MAIA,AC
MARLUCE PINTO,RR
MATUSALÉM GONÇALVES FERNANDES,RO
MAURÍCIO BRASILINO LEITE,PB
MAURÍCIO JOSÉ CORRÊA,DF
MAURO BENEVIDES,CE
MAURO BORGES TEIXEIRA,GO
MAURO FECURY,MA
MAURO MIRANDA SOARES,GO
MAX LÂNIO GONZAGA JAIME,GO
MEIRA FILHO,DF
MENDES CANALE,MS
MOISÉS ABRAÃO NETO,TO
MOZARILDO CAVALCANTI,RR
NABOR TELES DA ROCHA JÚNIOR,AC
NELSON CARNEIRO,RJ
NELSON WEDEKIN,SC
NEY DE ALBUQUERQUE MARANHÃO,PE
NEY SUASSUNA,PB
NIVALDO MACHADO,PE
ODACIR SOARES RODRIGUES,RO
OLAVO PIRES,RO
ONOFRE QUINAN,GO
OSMAR DIAS,PR
OTONIEL MACHADO CARNEIRO,GO
OZIEL CARNEIRO,PA
PAPALÉO PAES,AP
PATRÍCIA SABOYA,CE
PAULO FERNANDO BATISTA GUERRA,AP
PAULO HARTUNG,ES
PAULO OCTÁVIO,DF
PAULO PAIM,RS
PAULO SOUTO,BA
PEDRO HENRIQUE TEIXEIRA,DF
PEDRO MANSUETO DE LAVOR,PE
PEDRO PIVA,SP
PEDRO SIMON,RS
PEDRO UBIRAJARA DE OLIVEIRA,MS
POMPEU DE SOUSA,DF
RACHID SALDANHA DERZI,MS
RAIMUNDO LIRA,PB
RAMEZ TEBET,MS
REGINA MARIA D'ASSUMPÇÃO,MG
RENAN CALHEIROS,AL
